City,Temperature,Humidity,AQI,Rainfall,WindSpeed,Pressure,Date,DayType,Disease_Risk,Risk_Level,Precaution_1,Precaution_2,Precaution_3
Pune,19.9,37,59,37.4,14.1,995,2025-11-01,Today,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Bangalore,39.1,89,201,21.6,6.7,1012,2025-11-02,Today,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Kolkata,22.7,68,153,20.0,10.9,999,2025-11-03,Tomorrow,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Bangalore,31.8,89,158,24.3,8.8,997,2025-11-04,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Nagpur,33.5,53,190,58.0,5.8,1015,2025-11-05,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Chennai,30.2,43,180,39.1,12.9,1002,2025-11-06,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Delhi,37.1,90,230,33.7,13.2,1015,2025-11-07,Today,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Kolkata,19.5,61,132,29.4,10.6,1015,2025-11-01,Today,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Nagpur,27.0,37,188,58.9,9.1,1011,2025-11-02,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Delhi,22.8,82,127,31.3,7.4,1015,2025-11-03,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Delhi,22.4,47,217,26.6,19.4,995,2025-11-04,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Mumbai,37.9,54,114,56.1,3.9,995,2025-11-05,Today,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Kolkata,20.6,47,250,21.6,16.4,1008,2025-11-06,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Delhi,21.7,41,65,35.4,8.1,1001,2025-11-07,Today,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Mumbai,24.4,76,116,55.4,14.7,1004,2025-11-01,Today,Bronchitis,High,Avoid dusty areas,Use air purifier,Consult doctor if cough persists
Ahmedabad,39.1,35,149,33.2,13.0,1004,2025-11-02,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Mumbai,36.9,38,70,32.3,13.5,1011,2025-11-03,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Hyderabad,34.9,46,212,16.2,15.3,1008,2025-11-04,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Bangalore,39.7,67,81,59.9,7.4,997,2025-11-05,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Mumbai,38.8,70,150,17.3,13.9,1001,2025-11-06,Today,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Bangalore,28.4,53,243,33.4,11.2,1007,2025-11-07,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Ahmedabad,38.7,53,70,47.2,12.0,1013,2025-11-01,Today,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Delhi,39.6,50,223,26.1,14.8,997,2025-11-02,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Hyderabad,19.7,52,116,38.7,17.5,1002,2025-11-03,Today,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Chennai,32.8,55,250,36.8,11.1,1000,2025-11-04,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Jaipur,31.0,58,125,5.7,2.9,1007,2025-11-05,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Hyderabad,36.1,38,192,52.9,10.4,1002,2025-11-06,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Hyderabad,35.5,46,56,30.7,13.5,1005,2025-11-07,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Delhi,28.2,55,109,30.2,19.0,1014,2025-11-01,Tomorrow,Bronchitis,High,Avoid dusty areas,Use air purifier,Consult doctor if cough persists
Chennai,29.6,61,87,33.8,15.0,1001,2025-11-02,Today,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Jaipur,39.2,75,138,53.0,11.3,1002,2025-11-03,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Chennai,28.5,52,180,20.5,4.9,997,2025-11-04,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Chennai,22.6,79,106,8.4,10.6,999,2025-11-05,Today,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Bangalore,33.0,82,146,24.6,19.0,1007,2025-11-06,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Mumbai,25.3,42,104,37.1,4.4,1010,2025-11-07,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Pune,29.3,85,153,42.3,19.8,995,2025-11-01,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Delhi,30.5,85,158,7.3,16.8,995,2025-11-02,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Chennai,26.9,45,232,56.5,19.0,1013,2025-11-03,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Kolkata,19.1,42,50,17.8,11.6,1003,2025-11-04,Today,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Bangalore,26.9,89,81,23.1,19.0,995,2025-11-05,Tomorrow,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Pune,28.4,63,250,26.0,7.0,1012,2025-11-06,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Chennai,39.2,62,66,23.9,12.1,1002,2025-11-07,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Delhi,36.6,75,201,45.0,4.6,1000,2025-11-01,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Pune,37.5,37,214,21.0,12.0,998,2025-11-02,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Jaipur,37.3,46,122,29.1,10.7,1015,2025-11-03,Today,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Jaipur,31.8,36,93,16.8,3.4,1008,2025-11-04,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Hyderabad,19.2,39,196,27.8,12.5,1010,2025-11-05,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Jaipur,18.5,73,82,18.4,13.5,1008,2025-11-06,Today,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Kolkata,36.2,47,203,44.2,12.2,995,2025-11-07,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Bangalore,27.4,36,177,15.0,2.7,1007,2025-11-01,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Mumbai,19.8,83,79,58.7,17.0,1001,2025-11-02,Tomorrow,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Pune,36.7,87,193,9.0,3.0,1011,2025-11-03,Today,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Kolkata,36.6,56,173,40.2,12.7,1003,2025-11-04,Today,Bronchitis,High,Avoid dusty areas,Use air purifier,Consult doctor if cough persists
Jaipur,30.2,51,203,5.2,16.1,998,2025-11-05,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Kolkata,25.3,73,199,43.4,4.2,1013,2025-11-06,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Delhi,19.2,69,109,10.7,7.1,1010,2025-11-07,Tomorrow,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Jaipur,22.7,69,191,20.5,15.4,1008,2025-11-01,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Chennai,33.6,39,53,55.4,6.4,1009,2025-11-02,Today,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Hyderabad,25.9,56,206,43.9,3.1,1006,2025-11-03,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Delhi,32.6,71,71,56.6,16.9,1009,2025-11-04,Today,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Pune,19.2,46,116,20.4,9.1,1007,2025-11-05,Tomorrow,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Hyderabad,21.1,63,242,27.2,4.1,1004,2025-11-06,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Delhi,25.0,80,66,40.3,19.7,1005,2025-11-07,Today,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Nagpur,18.1,42,247,16.2,17.4,1002,2025-11-01,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Pune,22.4,37,109,46.8,14.3,998,2025-11-02,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Nagpur,39.7,46,101,50.6,11.1,1003,2025-11-03,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Delhi,23.9,81,87,2.0,2.8,1015,2025-11-04,Tomorrow,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Ahmedabad,38.1,59,208,37.2,13.3,998,2025-11-05,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Bangalore,21.3,38,53,52.7,15.8,1015,2025-11-06,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Nagpur,37.2,64,135,47.0,14.0,1013,2025-11-07,Tomorrow,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Kolkata,33.8,73,243,49.9,9.0,1001,2025-11-01,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Bangalore,29.6,89,178,1.4,4.6,1014,2025-11-02,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Ahmedabad,39.7,85,81,59.1,2.9,1013,2025-11-03,Today,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Bangalore,22.8,40,228,38.0,3.8,1004,2025-11-04,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Nagpur,32.3,38,69,21.0,19.8,1010,2025-11-05,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Jaipur,22.7,40,76,38.6,6.6,999,2025-11-06,Today,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Bangalore,20.7,63,170,17.3,20.0,1013,2025-11-07,Today,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Hyderabad,34.1,44,183,55.5,16.9,997,2025-11-01,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Nagpur,36.1,76,99,24.6,18.8,1011,2025-11-02,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Jaipur,27.5,88,195,12.2,18.6,998,2025-11-03,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Hyderabad,29.3,75,135,36.2,19.2,997,2025-11-04,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Bangalore,19.8,83,87,42.9,18.1,1009,2025-11-05,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Hyderabad,30.1,78,71,56.0,10.1,1000,2025-11-06,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Ahmedabad,35.0,55,224,1.8,17.3,1009,2025-11-07,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Ahmedabad,22.2,82,175,28.8,15.2,1015,2025-11-01,Tomorrow,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Kolkata,38.7,39,190,36.2,11.5,1010,2025-11-02,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Kolkata,34.0,42,100,15.5,8.9,998,2025-11-03,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Mumbai,39.7,57,56,19.4,3.7,1001,2025-11-04,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Mumbai,29.1,42,60,25.7,2.5,1001,2025-11-05,Today,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Delhi,19.9,83,88,27.1,10.6,997,2025-11-06,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Kolkata,20.7,67,63,19.3,7.6,1014,2025-11-07,Tomorrow,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Bangalore,27.0,68,164,55.7,10.4,1000,2025-11-01,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Pune,21.1,37,154,35.0,3.3,1011,2025-11-02,Today,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Delhi,26.9,66,70,5.4,15.1,1009,2025-11-03,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Jaipur,31.5,42,91,15.3,16.9,1007,2025-11-04,Today,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Kolkata,24.4,68,126,38.8,4.1,999,2025-11-05,Tomorrow,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Bangalore,20.8,72,116,1.0,7.4,1012,2025-11-06,Today,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Nagpur,39.9,36,162,1.6,16.2,1009,2025-11-07,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Mumbai,31.7,79,104,8.6,16.3,1006,2025-11-01,Today,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Mumbai,18.1,86,74,22.1,14.6,1009,2025-11-02,Tomorrow,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Ahmedabad,35.2,58,56,43.4,6.1,995,2025-11-03,Tomorrow,Bronchitis,High,Avoid dusty areas,Use air purifier,Consult doctor if cough persists
Ahmedabad,26.1,84,68,2.9,13.0,1005,2025-11-04,Today,Bronchitis,High,Avoid dusty areas,Use air purifier,Consult doctor if cough persists
Nagpur,19.0,37,236,16.9,5.2,1001,2025-11-05,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Jaipur,20.7,90,94,44.8,2.0,1014,2025-11-06,Tomorrow,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Chennai,27.9,71,181,31.4,11.0,1010,2025-11-07,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Pune,31.5,57,97,10.1,3.5,1008,2025-11-01,Tomorrow,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Jaipur,24.9,75,183,53.8,14.4,999,2025-11-02,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Delhi,32.8,54,82,16.7,16.4,1014,2025-11-03,Today,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Kolkata,20.2,40,106,28.5,12.9,996,2025-11-04,Tomorrow,Bronchitis,High,Avoid dusty areas,Use air purifier,Consult doctor if cough persists
Delhi,24.0,52,70,34.6,11.5,997,2025-11-05,Tomorrow,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Kolkata,23.2,73,241,22.1,10.3,1004,2025-11-06,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Mumbai,28.5,70,195,54.2,15.2,1006,2025-11-07,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Delhi,35.1,66,62,40.5,3.9,997,2025-11-01,Today,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Jaipur,20.3,58,169,34.8,2.6,1003,2025-11-02,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Jaipur,21.0,36,162,54.9,17.2,999,2025-11-03,Today,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Kolkata,23.7,65,184,37.5,6.3,1012,2025-11-04,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Chennai,25.0,86,107,33.5,19.1,1005,2025-11-05,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Bangalore,33.7,65,76,20.0,6.6,997,2025-11-06,Today,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Jaipur,28.2,39,223,50.9,18.4,1009,2025-11-07,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Delhi,23.2,55,172,59.1,15.3,1006,2025-11-01,Tomorrow,Bronchitis,High,Avoid dusty areas,Use air purifier,Consult doctor if cough persists
Kolkata,22.5,49,163,24.4,7.8,1014,2025-11-02,Today,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Delhi,19.9,69,228,27.7,17.0,1010,2025-11-03,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Hyderabad,38.9,79,86,9.8,15.9,1008,2025-11-04,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Bangalore,36.5,82,158,13.2,12.4,1013,2025-11-05,Today,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Bangalore,37.3,59,103,19.2,13.5,1013,2025-11-06,Tomorrow,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Delhi,34.0,52,158,0.1,9.9,1002,2025-11-07,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Hyderabad,20.7,53,115,24.1,8.1,1014,2025-11-01,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Mumbai,38.0,56,154,49.8,5.0,997,2025-11-02,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Chennai,19.2,64,125,25.3,2.4,1013,2025-11-03,Today,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Kolkata,20.3,57,208,0.1,16.4,1003,2025-11-04,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Ahmedabad,19.9,43,183,8.3,12.0,1000,2025-11-05,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Nagpur,32.0,88,230,23.6,4.3,999,2025-11-06,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Kolkata,33.9,45,207,50.4,16.3,1005,2025-11-07,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Jaipur,21.4,65,163,54.5,17.5,1004,2025-11-01,Tomorrow,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Kolkata,24.8,35,195,37.3,12.9,997,2025-11-02,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Delhi,21.3,76,112,25.3,6.7,1010,2025-11-03,Today,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Nagpur,36.0,57,131,12.7,16.2,1000,2025-11-04,Today,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Bangalore,30.3,51,56,21.8,12.8,1015,2025-11-05,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Hyderabad,31.0,55,166,52.6,12.1,1001,2025-11-06,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Bangalore,23.0,68,79,23.8,14.1,1005,2025-11-07,Tomorrow,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Delhi,31.9,54,234,48.8,9.7,1015,2025-11-01,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Bangalore,23.5,38,192,34.8,16.3,1011,2025-11-02,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Mumbai,25.4,52,85,17.4,10.5,995,2025-11-03,Tomorrow,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Ahmedabad,24.0,36,246,58.5,15.0,1006,2025-11-04,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Nagpur,28.2,36,241,49.5,16.7,996,2025-11-05,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Delhi,26.6,43,117,19.6,6.2,999,2025-11-06,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Jaipur,33.1,55,56,52.5,2.0,1010,2025-11-07,Tomorrow,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Hyderabad,22.7,79,198,43.3,4.0,1008,2025-11-01,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Chennai,28.8,43,54,41.1,5.1,1014,2025-11-02,Tomorrow,Bronchitis,High,Avoid dusty areas,Use air purifier,Consult doctor if cough persists
Pune,24.2,52,113,52.2,7.1,995,2025-11-03,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Nagpur,36.6,72,229,27.3,11.5,1012,2025-11-04,Today,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Kolkata,33.5,59,71,50.0,16.5,999,2025-11-05,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Delhi,36.1,70,89,52.5,13.1,1001,2025-11-06,Tomorrow,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Kolkata,25.5,58,186,57.7,15.4,1009,2025-11-07,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Ahmedabad,33.4,85,109,8.8,17.6,1003,2025-11-01,Tomorrow,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Delhi,27.2,45,191,36.7,7.5,1002,2025-11-02,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Nagpur,21.7,57,193,21.7,10.5,1004,2025-11-03,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Jaipur,20.9,65,98,24.2,5.0,1008,2025-11-04,Today,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Bangalore,27.7,63,183,12.9,7.3,1000,2025-11-05,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Bangalore,20.5,37,75,23.4,13.1,997,2025-11-06,Tomorrow,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Hyderabad,32.9,59,232,18.3,12.1,1003,2025-11-07,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Hyderabad,18.5,83,241,16.5,18.9,996,2025-11-01,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Delhi,28.7,44,100,32.3,19.5,1007,2025-11-02,Tomorrow,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Kolkata,32.0,73,206,31.2,13.4,995,2025-11-03,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Nagpur,20.8,88,241,19.7,9.1,1005,2025-11-04,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
