City,Temperature,Humidity,AQI,Rainfall,WindSpeed,Pressure,Date,DayType,Disease_Risk,Risk_Level,Precaution_1,Precaution_2,Precaution_3
Bangalore,28.4,73,215,34.1,4.4,1003,2025-11-05,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Chennai,18.4,50,65,59.3,10.9,1014,2025-11-06,Tomorrow,Bronchitis,High,Avoid dusty areas,Use air purifier,Consult doctor if cough persists
Hyderabad,29.0,69,91,46.2,4.7,1014,2025-11-07,Today,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Mumbai,35.9,62,225,19.6,12.2,996,2025-11-01,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Nagpur,21.8,84,243,47.7,2.3,1001,2025-11-02,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Chennai,24.6,41,218,54.4,8.0,1008,2025-11-03,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Jaipur,22.2,66,60,53.8,2.2,996,2025-11-04,Today,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Kolkata,26.5,67,136,42.2,5.6,1015,2025-11-05,Tomorrow,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Chennai,19.8,51,244,35.0,14.8,1008,2025-11-06,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Ahmedabad,27.2,58,171,22.7,18.0,1014,2025-11-07,Today,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Hyderabad,22.8,36,199,52.3,13.4,1005,2025-11-01,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Bangalore,25.6,55,205,59.9,5.2,1004,2025-11-02,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Jaipur,25.9,86,109,9.8,4.2,1004,2025-11-03,Tomorrow,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Kolkata,33.3,79,107,35.6,17.6,996,2025-11-04,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Bangalore,29.0,47,77,28.2,13.0,1008,2025-11-05,Tomorrow,Bronchitis,High,Avoid dusty areas,Use air purifier,Consult doctor if cough persists
Chennai,33.0,56,117,40.1,8.9,1004,2025-11-06,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Mumbai,34.1,79,179,59.7,8.8,1015,2025-11-07,Today,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Delhi,27.5,38,84,52.9,12.7,1003,2025-11-01,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Bangalore,38.3,60,113,21.4,10.9,998,2025-11-02,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Pune,38.7,72,130,7.7,5.1,995,2025-11-03,Today,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Hyderabad,19.6,39,124,51.4,16.7,1006,2025-11-04,Tomorrow,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Chennai,24.3,39,72,26.3,13.3,1003,2025-11-05,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Bangalore,21.0,62,58,51.8,19.8,1003,2025-11-06,Tomorrow,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Chennai,25.1,79,129,13.3,8.5,1012,2025-11-07,Tomorrow,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Bangalore,39.9,45,137,12.3,4.7,1012,2025-11-01,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Nagpur,39.4,53,125,56.4,14.5,1014,2025-11-02,Tomorrow,Bronchitis,High,Avoid dusty areas,Use air purifier,Consult doctor if cough persists
Nagpur,33.9,82,171,19.8,13.3,1014,2025-11-03,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Kolkata,26.4,51,233,38.0,11.4,1009,2025-11-04,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Nagpur,20.1,77,147,54.4,15.3,1014,2025-11-05,Today,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Delhi,37.0,59,70,13.7,4.2,996,2025-11-06,Tomorrow,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Chennai,27.4,88,162,24.0,8.1,1007,2025-11-07,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Kolkata,39.0,86,102,58.7,15.6,999,2025-11-01,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Jaipur,18.8,71,194,0.5,13.7,1014,2025-11-02,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Jaipur,24.1,43,139,50.9,14.2,1015,2025-11-03,Tomorrow,Bronchitis,High,Avoid dusty areas,Use air purifier,Consult doctor if cough persists
Pune,30.8,60,178,28.5,12.8,1008,2025-11-04,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Bangalore,32.7,54,133,20.4,6.5,1004,2025-11-05,Today,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Delhi,29.5,89,178,54.9,4.4,1001,2025-11-06,Tomorrow,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Chennai,35.1,62,225,18.4,3.0,999,2025-11-07,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Hyderabad,38.2,57,168,42.8,4.9,1005,2025-11-01,Today,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Hyderabad,28.8,89,111,52.1,7.2,1008,2025-11-02,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Pune,36.1,53,155,22.0,16.1,1005,2025-11-03,Tomorrow,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Delhi,29.0,58,82,29.9,14.6,1012,2025-11-04,Tomorrow,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Nagpur,39.1,66,168,9.7,3.6,1015,2025-11-05,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Bangalore,20.6,35,52,21.0,18.5,1012,2025-11-06,Today,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Ahmedabad,25.1,76,166,23.6,9.4,1002,2025-11-07,Tomorrow,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Ahmedabad,38.2,35,231,17.8,14.0,1001,2025-11-01,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Nagpur,26.2,85,55,48.4,16.1,1014,2025-11-02,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Kolkata,19.7,50,123,6.9,11.4,1013,2025-11-03,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Pune,34.7,37,61,25.5,19.0,1013,2025-11-04,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Kolkata,30.4,41,220,1.3,7.2,995,2025-11-05,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Nagpur,29.2,37,73,36.7,4.9,1012,2025-11-06,Tomorrow,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Jaipur,27.4,41,200,57.5,9.8,1002,2025-11-07,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Jaipur,31.8,71,116,30.1,19.5,1005,2025-11-01,Tomorrow,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Bangalore,21.5,81,129,28.9,4.4,1002,2025-11-02,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Chennai,21.7,84,67,24.2,16.2,996,2025-11-03,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Mumbai,22.1,85,152,3.8,4.0,998,2025-11-04,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Jaipur,29.2,50,226,15.7,12.9,998,2025-11-05,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Pune,27.8,87,158,44.3,10.6,1000,2025-11-06,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Mumbai,33.5,69,211,40.1,4.3,1011,2025-11-07,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Bangalore,34.2,43,69,57.7,10.9,1000,2025-11-01,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Jaipur,35.0,73,195,33.1,14.6,1012,2025-11-02,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Chennai,25.7,51,189,20.2,3.5,1005,2025-11-03,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Jaipur,22.5,53,55,8.1,18.7,1002,2025-11-04,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Delhi,35.8,39,236,23.7,14.8,997,2025-11-05,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Jaipur,31.0,76,96,54.4,9.7,996,2025-11-06,Today,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Kolkata,19.6,56,223,0.6,14.8,1009,2025-11-07,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Pune,38.9,64,245,42.0,9.1,995,2025-11-01,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Delhi,24.9,75,161,33.4,19.4,1006,2025-11-02,Today,Bronchitis,High,Avoid dusty areas,Use air purifier,Consult doctor if cough persists
Ahmedabad,18.8,39,195,50.1,15.2,1015,2025-11-03,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Jaipur,37.3,68,167,2.8,10.5,1012,2025-11-04,Today,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Pune,22.3,38,129,25.5,7.4,1008,2025-11-05,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Nagpur,37.9,82,64,45.5,13.2,1007,2025-11-06,Today,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Nagpur,34.6,83,207,51.8,5.8,1002,2025-11-07,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Hyderabad,25.1,49,67,21.0,16.2,1009,2025-11-01,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Delhi,36.5,67,85,29.3,9.9,1006,2025-11-02,Today,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Pune,28.2,40,137,57.1,7.4,1011,2025-11-03,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Mumbai,30.4,58,229,6.3,3.3,998,2025-11-04,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Ahmedabad,25.6,82,93,5.9,12.6,1012,2025-11-05,Tomorrow,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Mumbai,38.6,39,176,54.7,10.7,1012,2025-11-06,Today,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Kolkata,36.7,41,179,42.2,7.4,1012,2025-11-07,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Jaipur,18.8,38,71,15.9,10.4,1002,2025-11-01,Tomorrow,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Jaipur,21.5,81,250,32.4,12.7,996,2025-11-02,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Delhi,33.6,45,163,20.3,19.4,1001,2025-11-03,Today,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Mumbai,33.0,81,85,28.2,15.2,997,2025-11-04,Tomorrow,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Bangalore,27.6,56,177,2.3,17.1,1009,2025-11-05,Tomorrow,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Mumbai,31.5,38,79,32.9,7.5,995,2025-11-06,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Chennai,37.9,75,52,3.4,10.5,997,2025-11-07,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Ahmedabad,19.9,49,158,0.2,6.7,1013,2025-11-01,Today,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Delhi,28.4,56,108,46.9,8.4,1002,2025-11-02,Today,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Chennai,20.7,75,126,2.6,6.1,1014,2025-11-03,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Chennai,23.7,86,206,23.4,13.7,996,2025-11-04,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Bangalore,24.1,46,147,44.7,12.2,1006,2025-11-05,Tomorrow,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Hyderabad,37.3,36,84,35.6,19.5,1012,2025-11-06,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Bangalore,19.3,59,167,47.8,13.7,1011,2025-11-07,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Hyderabad,19.8,48,125,37.1,17.7,1006,2025-11-01,Tomorrow,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Nagpur,33.2,35,198,57.9,17.8,1012,2025-11-02,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Hyderabad,24.3,74,142,35.1,12.0,1004,2025-11-03,Today,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Ahmedabad,26.9,59,223,28.1,17.6,1008,2025-11-04,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Nagpur,27.7,41,115,5.0,19.8,1008,2025-11-05,Today,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Mumbai,28.8,48,120,7.6,4.6,1000,2025-11-06,Today,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Bangalore,21.4,67,240,10.9,16.9,1014,2025-11-07,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Chennai,34.2,71,66,19.6,15.8,997,2025-11-01,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Kolkata,31.8,69,172,7.1,9.0,1006,2025-11-02,Tomorrow,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Bangalore,34.2,62,92,53.1,6.6,1012,2025-11-03,Tomorrow,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Delhi,23.0,51,217,16.8,14.6,999,2025-11-04,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Pune,33.8,45,242,21.5,3.9,1013,2025-11-05,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Chennai,27.0,45,146,0.1,11.5,997,2025-11-06,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Kolkata,34.3,35,133,27.2,17.2,1015,2025-11-07,Today,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Nagpur,31.4,56,167,29.1,16.6,1010,2025-11-01,Today,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Pune,22.1,61,193,53.7,5.7,1015,2025-11-02,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Chennai,39.6,74,58,55.0,13.2,1000,2025-11-03,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Chennai,24.9,82,226,33.6,12.7,1010,2025-11-04,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Mumbai,37.7,88,144,44.4,17.5,997,2025-11-05,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Nagpur,20.1,38,105,12.6,5.4,997,2025-11-06,Today,Bronchitis,High,Avoid dusty areas,Use air purifier,Consult doctor if cough persists
Pune,21.3,43,76,57.3,19.0,996,2025-11-07,Today,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Nagpur,36.1,57,210,45.9,16.4,1006,2025-11-01,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Kolkata,37.0,43,101,39.7,5.8,1007,2025-11-02,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Chennai,20.1,46,112,12.3,14.3,1002,2025-11-03,Tomorrow,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Ahmedabad,38.7,55,131,2.5,17.8,1005,2025-11-04,Tomorrow,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Kolkata,24.7,39,104,25.3,6.3,997,2025-11-05,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Delhi,33.4,83,206,8.1,4.9,1006,2025-11-06,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Kolkata,23.0,46,165,31.4,17.0,1000,2025-11-07,Tomorrow,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Kolkata,30.7,82,51,37.6,14.1,1005,2025-11-01,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Jaipur,21.6,65,93,34.7,9.1,998,2025-11-02,Tomorrow,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Kolkata,38.0,84,160,24.5,14.3,1002,2025-11-03,Tomorrow,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Ahmedabad,28.7,71,172,23.9,11.5,1002,2025-11-04,Tomorrow,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Delhi,22.3,52,77,7.1,18.2,1005,2025-11-05,Today,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Kolkata,20.2,57,236,58.9,4.7,1013,2025-11-06,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Bangalore,31.1,44,189,7.2,12.0,999,2025-11-07,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Delhi,34.9,46,239,30.0,12.7,1015,2025-11-01,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Jaipur,36.8,36,87,26.1,2.1,995,2025-11-02,Today,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Chennai,39.0,87,142,24.7,19.4,996,2025-11-03,Today,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Delhi,24.2,67,168,36.9,12.9,1001,2025-11-04,Tomorrow,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Jaipur,24.7,57,204,49.4,19.9,1002,2025-11-05,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Hyderabad,31.4,81,149,41.1,15.1,1012,2025-11-06,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Kolkata,21.2,82,152,9.3,9.6,1005,2025-11-07,Tomorrow,Bronchitis,High,Avoid dusty areas,Use air purifier,Consult doctor if cough persists
Nagpur,20.3,42,80,29.8,5.6,1010,2025-11-01,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Delhi,25.6,51,199,19.3,10.9,1009,2025-11-02,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Bangalore,28.7,37,125,34.6,18.3,998,2025-11-03,Today,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Jaipur,30.8,64,91,53.6,18.6,1000,2025-11-04,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Pune,36.4,55,202,20.3,2.1,1003,2025-11-05,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Ahmedabad,19.4,55,82,36.3,13.3,1007,2025-11-06,Today,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Mumbai,20.8,76,71,54.0,8.2,998,2025-11-07,Tomorrow,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Ahmedabad,28.7,89,130,28.7,2.6,1004,2025-11-01,Tomorrow,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Pune,21.0,55,109,7.1,15.0,995,2025-11-02,Tomorrow,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Bangalore,26.2,83,128,36.0,7.7,1012,2025-11-03,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Delhi,27.1,65,73,43.2,4.8,1013,2025-11-04,Tomorrow,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Mumbai,37.7,60,185,13.4,9.8,1003,2025-11-05,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Kolkata,24.7,71,87,1.1,18.4,1002,2025-11-06,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Chennai,29.9,86,185,29.2,3.6,1009,2025-11-07,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Kolkata,18.2,45,242,54.4,17.7,1005,2025-11-01,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Jaipur,18.3,40,206,34.8,10.1,1000,2025-11-02,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Nagpur,26.9,37,150,16.3,17.5,1006,2025-11-03,Tomorrow,Normal,Low,No major risk,Maintain hydration,Get regular exercise
Delhi,20.3,88,143,8.1,9.4,1010,2025-11-04,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Delhi,26.1,35,79,35.7,4.0,1011,2025-11-05,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Chennai,35.1,46,136,36.7,9.5,1014,2025-11-06,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Kolkata,23.1,74,74,34.9,5.5,1007,2025-11-07,Tomorrow,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Hyderabad,25.3,60,142,47.5,2.9,1005,2025-11-01,Tomorrow,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Bangalore,35.0,70,164,19.0,19.5,1005,2025-11-02,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Delhi,36.9,70,156,41.7,11.0,999,2025-11-03,Tomorrow,Skin Allergy,Low,Avoid direct sun exposure,Use mild soap,Moisturize skin
Pune,31.7,49,130,7.8,3.6,1006,2025-11-04,Today,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Mumbai,36.4,44,164,35.1,7.2,1009,2025-11-05,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Delhi,20.9,43,190,38.6,2.1,997,2025-11-06,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Delhi,36.5,36,66,35.7,8.2,1006,2025-11-07,Tomorrow,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Jaipur,35.6,50,70,31.8,8.3,1003,2025-11-01,Today,Bronchitis,High,Avoid dusty areas,Use air purifier,Consult doctor if cough persists
Hyderabad,38.3,64,89,10.2,15.6,1000,2025-11-02,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Pune,24.1,88,207,1.6,9.1,1005,2025-11-03,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
